Das sind die Freuden {{c1::maßloser}} Selbstüberschätzung.		
Obwohl das der am besten bezahlte Job auf dem Campus ist.		
Zwei Monate später langweilt mich das Speedreading bis zur Bewusstlosigkeit, und ich mache meinen Laden dicht.		
Dienstleistungen sind nicht mein Ding - was ich brauche, ist ein Produkt, das ich verschicken kann.		
Ich teile dem Prüfungsamt mit, dass ich die Universität bis auf weiteres verlasse.	bis auf weiteres = until further notice	
Andere Pizza-Ketten sind eben nicht so flexibel wie Round Table. Die meisten von ihnen haben komplizierte Lieferbedingungen und Grundsätze - (pernickety little rules){{c1::pingelige kleine Regeln}} wie die, dass man eine Straßenadresse angeben muss, um eine Pizza-Lieferung zu erhalten.		
Andere Pizza-Ketten sind eben nicht so flexibel wie Round Table. Die meisten von ihnen haben komplizierte Lieferbedingungen und Grundsätze - pingelige kleine Regeln wie die, dass man eine Straßenadresse (give){{c1::angeben}} muss, um eine Pizza-Lieferung zu erhalten.		
Kein Problem. Ich weiß, wie (irritated){{c1::gereizt}} die Leute werden können, wenn es um ihre Pizza geht.		
Ich bin nicht (irritated){{c1::gereizt}}, ich bin bloß hungrig, sagte ich in einem sehr gereizten Ton.		
"""Ich bin nicht gereizt, (I'm just hungry){{c1::ich bin bloß hungrig}}"", sagte ich in einem sehr gereizten Ton."		
"Ich bin nicht gereizt, ich bin bloß hungrig", sagte ich (in a very irritated tone){{c1::in einem sehr gereizten Ton}}.		
"(Be that as it may){{c1::Wie dem auch sei}}, Kumpel. Verlassen Sie sich drauf: Wir werden Ihnen den leckersten Teig liefern, den Sie sich vorstellen können. Ich bin der Manager. Also, was darf's sein?"		
"Wie dem auch sei, Kumpel. {{c1::Verlassen}} Sie sich drauf: Wir werden Ihnen den leckersten Teig liefern, den Sie sich vorstellen können. Ich bin der Manager. Also, was darf's sein?"		
"Wie dem auch sei, Kumpel. Verlassen Sie {{c1::sich}} drauf: Wir werden Ihnen den leckersten Teig liefern, den Sie sich vorstellen können. Ich bin der Manager. Also, was darf's sein?"		
"Wie dem auch sei, Kumpel. Verlassen Sie sich {{c1::drauf}}: Wir werden Ihnen den leckersten Teig liefern, den Sie sich vorstellen können. Ich bin der Manager. Also, was darf's sein?"		
"Um Himmels Willen, Mann! Sie müssen einen abartigen Hunger haben!" (if you only knew){{c1::Wenn du wüsstest}}, dachte ich. "Haben Sie auch ein Dessert?"		
Für die meisten Nicht-Läufer ist das Laufen (at best){{c1::im besten Fall}} langweilig - und im schlimmsten Fall furchtbar schmerzhaft und sinnlos.		
Für die meisten Nicht-Läufer ist das Laufen im besten Fall langweilig - und (at worst){{c1::im schlimmsten Fall}} furchtbar schmerzhaft und sinnlos.		
Aber er schien ehrlich fasziniert zu sein von meinem Unternehmen, und wir hatten uns (right away){{c1::auf Anhieb}} gut verstanden - obwohl ich nicht den Eindruck hatte, dass er in absehbarer Zeit selbst mit diesem Sport beginnen wollte.		
Aber er schien ehrlich fasziniert zu sein von meinem Unternehmen, und wir hatten uns auf Anhieb gut verstanden - obwohl ich nicht den Eindruck hatte, dass er (in the foreseeable future){{c1::in absehbarer Zeit}} selbst mit diesem Sport beginnen wollte.		
Aber er schien ehrlich fasziniert zu sein von meinem Unternehmen, und wir hatten uns auf Anhieb gut verstanden - (although I didn't get the impression){{c1::obwohl ich nicht den Eindruck hatte}}, dass er in absehbarer Zeit selbst mit diesem Sport beginnen wollte.		
(Eating while running is an art){{c1::Beim Laufen zu essen ist eine Kunst}}, die ich im Lauf der Jahre - gezwungenermaßen - ziemlich gut entwickelt habe.		
Beim Laufen zu essen ist eine Kunst, die ich (throughout the years){{c1::im Lauf der Jahre}} - gezwungenermaßen - ziemlich gut entwickelt habe.		
"Also, Kumpel, haben Sie etwas dagegen, wenn ich Sie frage, warum Sie das tun?" Wo soll man beginnen? "Oh, Mann", entgegnete ich, "(I'll need to get back to you another time on that one){{c1::ich werde ein anderes Mal darauf zurückkommen müssen.}}"		
"Also, Kumpel, haben Sie etwas dagegen, wenn ich Sie frage, warum Sie das tun?" Wo soll man beginnen? "Oh, Mann", entgegnete ich, "ich werde ein anderes Mal {{c1::darauf}} zurückkommen müssen."		
"Also, Kumpel, haben Sie etwas dagegen, wenn ich Sie frage, warum Sie das tun?" Wo soll man beginnen? "Oh, Mann", entgegnete ich, "ich werde ein anderes Mal darauf {{c1::zurückkommen}} müssen."		
Im Jahre 2003 hat (a record number){{c1::eine Rekordzahl}} von 460.000 Menschen einen der vielen Marathon-Läufe des Landes absolviert.		
Im Jahre 2003 hat eine Rekordzahl von 460.000 Menschen einen der vielen Marathon-Läufe des Landes (completed){{c1::absolviert}}.		
Im Jahre 2003 hat eine Rekordzahl von 460.000 Menschen (one of the many marathons){{c1::einen der vielen Marathon-Läufe}} des Landes absolviert.		
(They all){{c1::Sie alle}} gingen bis an die Grenzen ihrer Leistungsfähigkeit, um die 26,2 Meilen zu schaffen.		
Sie alle (went to the limits of the ability){{c1::gingen bis an die Grenzen ihrer Leistungsfähigkeit}}, um die 26,2 Meilen zu schaffen.		
Sie alle gingen bis an die Grenzen ihrer Leistungsfähigkeit, um die 26,2 Meilen zu (tackle){{c1::schaffen}}.		
Sie alle gingen (to the limits){{c1::bis an die Grenzen}} ihrer Leistungsfähigkeit, um die 26,2 Meilen zu schaffen.		
Wir treiben unseren Körper, unseren Geist und unseren Willen (way beyond the degree of pain and exersion){{c1::weit über das Maß an Schmerzen und Strapazen hinaus}}, das die meisten Menschen im äußersten Fall für möglich halten würden.		
Mein Vater hatte zwei Jobs, (to make ends meet){{c1::um über die Runden zu kommen}}.		
Mein Vater hatte zwei Jobs, um {{c1::über}} die Runden zu kommen.		
Mein Vater hatte zwei Jobs, um über {{c1::die}} Runden zu kommen.		
Mein Vater hatte zwei Jobs, um über die {{c1::Runden}} zu kommen.		
(I didn't want to burdon my mother){{c1::Ich wollte meine Mutter nicht damit belasten}}, mich jeden Tag von der Schule abzuholen, deshalb begann ich zu laufen.		
Schule bestand darin, (sitting quietly and behaving youself){{c1::stillzusitzen und sich zu benehmen}}, während irgend jemand erklärte, wie die Welt funktioniert. Laufen bedeutete in erster Linie: rausgehen und Erfahrungen sammeln.		
Schule bestand darin, stillzusitzen und sich zu benehmen, (while someone explained){{c1::während irgend jemand erklärte}}, wie die Welt funktioniert. Laufen bedeutete in erster Linie: rausgehen und Erfahrungen sammeln.		
Schule bestand darin, stillzusitzen und sich zu benehmen, während irgend jemand erklärte, wie die Welt funktioniert. Laufen bedeutete (first and foremost){{c1::in erster Linie}}: rausgehen und Erfahrungen sammeln.		
(One day you'll be a great greek runner){{c1::Du wirst einmal ein großer griechischer Läufer werden}}, ganz wie deine Vorfahren.		
Du wirst einmal ein großer griechischer Läufer werden, (just like your ancestors){{c1::ganz wie deine Vorfahren}}.		
(On days when he wasn't in the mood){{c1::An Tagen, an denen er nicht in der Laune war}}, 100-prozentige Leistung zu bringen, zwang er sich, 120 Prozent zu geben.		
An Tagen, an denen er nicht in der Laune war, (to give 100 precent){{c1::100-prozentige Leistung zu bringen}}, zwang er sich, 120 Prozent zu geben.		
(Throughout two years){{c1::Im Lauf von zwei Jahren}} haben wir wahrscheinlich keine fünfzig Worte gewechselt.		
Im Lauf von zwei Jahren haben wir wahrscheinlich keine fünfzig Worte (exchanged){{c1::gewechselt}}.		
(I even took pleasure in){{c1::Ich fand sogar Vergnügen daran}}, meinen Körper bis an die Grenze des Zusammenbruchs zu treiben.		
Ich fand sogar Vergnügen daran, (pushing my body to the verge of collapse){{c1::meinen Körper bis an die Grenze des Zusammenbruchs zu treiben}}.		
(I gravitated to the cross country team){{c1::Ich fühlte mich zu dem Cross-Country-Team hingezogen}} - teilweise, weil ich das Surfen liebte, aber hauptsächlich, weil der Stil zu mir passte.		
Ich fühlte mich zu dem Cross-Country-Team hingezogen - (partly){{c1::teilweise}}, weil ich das Surfen liebte, aber hauptsächlich, weil der Stil zu mir passte.		
Ich fühlte mich zu dem Cross-Country-Team hingezogen - teilweise, weil ich das Surfen liebte, aber (mainly){{c1::hauptsächlich}}, weil der Stil zu mir passte.		
(Year after year){{c1::Jahr für Jahr}} platzierte sich sein Team an oder nahe der Spitze der Liga.		
Jahr für Jahr platzierte sich sein Team (at or near the top of the league){{c1::an oder nahe der Spitze der Liga}}.		
Jahr für Jahr (placed){{c1::platzierte sich}} sein Team an oder nahe der Spitze der Liga.		
(During the season){{c1::Im Lauf der Saison}} begann mein hartes Training, Früchte zu tragen.		
Im Lauf der Saison (my hard training began to bear fruit){{c1::begann mein hartes Training, Früchte zu tragen}}.		
(The runner, who had pursued me){{c1::Der Läufer, der mich verfolgt hatte}}, konnte nicht Schritt halten - und nun hatte er das gesamte Feld in seinem Windschatten.		
Der Läufer, der mich (persued){{c1::verfolgt}} hatte, konnte nicht Schritt halten - und nun hatte er das gesamte Feld in seinem Windschatten.		
Der Läufer, der mich verfolgt hatte, (couldn't keep up){{c1::konnte nicht Schritt halten}} - und nun hatte er das gesamte Feld in seinem Windschatten.		
Aber würde ich wohl für den Rest der Strecke (be able to keep this lead){{c1::diesen Vorsprung halten können}}, ohne zusammenzubrechen? Da die verbleibende Strecke immerhin noch eine Meile betrug, begann ich allmählich, daran zu zweifeln.		
Aber würde ich wohl für den Rest der Strecke diesen Vorsprung halten können, ohne zusammenzubrechen? Da (the remaining distance){{c1::die verbleibende Strecke}} immerhin noch eine Meile betrug, begann ich allmählich, daran zu zweifeln.		
Aber würde ich wohl für den Rest der Strecke diesen Vorsprung halten können, ohne zusammenzubrechen? Da die verbleibende Strecke immerhin noch eine Meile betrug, (I began gradually to doubt it){{c1::begann ich allmählich, daran zu zweifeln}}.		
Aber würde ich wohl für den Rest der Strecke diesen Vorsprung halten können, ohne zusammenzubrechen? Da die verbleibende Strecke immerhin noch eine Meile (war){{c1::betrug}}, begann ich allmählich, daran zu zweifeln.		
(My heart felt like){{c1::Mein Herz fühlte sich an}}, als ob es direkt durch meine Brust hindurchschlagen würde.		
Mein Herz fühlte sich an, (as if it would burst through my chest){{c1::als ob es direkt durch meine Brust hindurchschlagen würde}}.		
(Out of the corner of my eye){{c1::Aus meinen Augenwinkeln}} sah ich drei oder vier Läufer, die zügig aufholten.		
Aus meinen Augenwinkeln sah ich drei oder vier Läufer, (who were quickly catching up){{c1::die zügig aufholten}}.		
Sie waren nun weniger als einen Schritt weit hinter mir. (Then two of them started to overtake){{c1::Dann setzten zwei von ihnen zum Überholen an}} - einer auf jeder Seite.		
Sie waren nun weniger als einen Schritt weit hinter mir. Dann setzten zwei von ihnen zum Überholen an - (one on each side){{c1::einer auf jeder Seite}}.		
(As the two runners){{c1::Als die beiden Läufer}} für einen Augenblick eine Spalte bildeten, rammte ich mich zwischen sie. Als ich das tat, schwang der Kerl auf der rechten Seite seinen Ellbogen nach oben und erwischte mich quer über der Nasenbrücke.		
Als die beiden Läufer für einen Augenblick (formed a gap){{c1::eine Spalte bildeten}}, rammte ich mich zwischen sie. Als ich das tat, schwang der Kerl auf der rechten Seite seinen Ellbogen nach oben und erwischte mich quer über der Nasenbrücke.		
Als die beiden Läufer für einen Augenblick eine Spalte bildeten, rammte ich mich zwischen sie. Als ich das tat, schwang der Kerl (on the right side){{c1::auf der rechten Seite}} seinen Ellbogen nach oben und erwischte mich quer über der Nasenbrücke.		
Als die beiden Läufer für einen Augenblick eine Spalte bildeten, rammte ich mich zwischen sie. Als ich das tat, (swung){{c1::schwang}} der Kerl auf der rechten Seite seinen Ellbogen nach oben und erwischte mich quer über der Nasenbrücke.		
Als die beiden Läufer für einen Augenblick eine Spalte bildeten, rammte ich mich zwischen sie. Als ich das tat, schwang der Kerl auf der rechten Seite seinen Ellbogen (up){{c1::nach oben}} und erwischte mich quer über der Nasenbrücke.		
Als die beiden Läufer für einen Augenblick eine Spalte bildeten, rammte ich mich zwischen sie. Als ich das tat, schwang der Kerl auf der rechten Seite seinen Ellbogen nach oben und (caught me){{c1::erwischte mich}} quer über der Nasenbrücke.		
Als die beiden Läufer für einen Augenblick eine Spalte bildeten, rammte ich mich zwischen sie. Als ich das tat, schwang der Kerl auf der rechten Seite seinen Ellbogen nach oben und erwischte mich (right across the bridge of my nose){{c1::quer über der Nasenbrücke}}.		
(In the same year){{c1::Noch in demselben Jahr}} lief ich meinen ersten Marathon. Es war kein offizielles Rennen, sondern eine Benefiz-Veranstaltung zugunsten unterprivilegierter Kinder.		
Noch in demselben Jahr (I ran my first marathon){{c1::lief ich meinen ersten Marathon}}. Es war kein offizielles Rennen, sondern eine Benefiz-Veranstaltung zugunsten unterprivilegierter Kinder.		
Noch in demselben Jahr lief ich meinen ersten Marathon. (It wasn't an official race){{c1::Es war kein offizielles Rennen}}, sondern eine Benefiz-Veranstaltung zugunsten unterprivilegierter Kinder.		
Noch in demselben Jahr lief ich meinen ersten Marathon. Es war kein offizielles Rennen, sondern eine Benefiz-Veranstaltung (for the benefit of){{c1::zugunsten}} unterprivilegierter Kinder.		
(The whole thing took about six hours){{c1::Das Ganze dauerte ungefähr sechs Stunden}}, aber ich wollte einfach nicht aufhören, bevor ich die Strecke eines Marathons bewältigt hatte.		
Das Ganze dauerte ungefähr sechs Stunden, aber ich wollte einfach nicht aufhören, bevor ich die Strecke eines Marathons (managed){{c1::bewältigt}} hatte.		
(I would love to have){{c1::Am liebsten hätte ich}} diesem Bastard eine reingehauen.		
Am liebsten hätte ich (punched the bastard in the face){{c1::diesem Bastard eine reingehauen}}.		
Meine Eltern waren (hopping mad){{c1::fuchsteufelswild}} geworden und hatten mich schon ins Internat schicken wollen, aber Pary hielt immer zu mir - als wüsste sie, dass diese unruhige Phase vorübergehen würde.		
Meine Eltern waren fuchsteufelswild geworden und hatten mich schon ins Internat schicken wollen, aber Pary (always stood by me){{c1::hielt immer zu mir}} - als wüsste sie, dass diese unruhige Phase vorübergehen würde.		
Meine Eltern waren fuchsteufelswild geworden und hatten mich schon ins Internat schicken wollen, aber Pary hielt immer zu mir - (as if she knew){{c1::als wüsste sie}}, dass diese unruhige Phase vorübergehen würde.		
Meine Eltern waren fuchsteufelswild geworden und hatten mich schon ins Internat schicken wollen, aber Pary hielt immer zu mir - als wüsste sie, dass diese unruhige Phase (pass){{c1::vorübergehen}} würde.		
Julie und ich waren immer noch zusammen, aber ich spürte, (that she was getting fed up of my lifestyle){{c1::dass sie langsam die Nase voll hatte von meinem Lebensstil}}.		
(I doubted){{c1::Ich bezweifelte}}, dass sie mir treu bleiben würde angesichts meines Benehmens. Und wer konnte es ihr verübeln?		
Ich bezweifelte, dass sie mir treu bleiben würde angesichts meines Benehmens. (And who could blame her?){{c1::Und wer konnte es ihr verübeln}}?		
(The blow){{c1::Der Schlag}} für meine Familie ging über Schock und Trauer weit hinaus.		
Der Schlag für meine Familie (went beyond shock and grief){{c1::ging über Schock und Trauer weit hinaus}}.		
(Secretly I longed){{c1::Insgeheim sehnte ich mich danach}}, diese Lücke zu schließen - obwohl ich nicht wusste, worin sie bestand und wie man sie füllen konnte.		
Insgeheim sehnte ich mich danach, (to close this gap){{c1::diese Lücke zu schließen}} - obwohl ich nicht wusste, worin sie bestand und wie man sie füllen konnte.		
(But now that I had amassed a considerable fortune){{c1::Aber jetzt, da ich ein ansehnliches Vermögen angehäuft hatte}}, wurde mir bewusst, dass das Leben noch einen anderen Inhalt haben musste, als ständig meine Reserven zu polstern.		
Aber jetzt, da ich ein ansehnliches Vermögen angehäuft hatte, (I became aware){{c1::wurde mir bewusst}}, dass das Leben noch einen anderen Inhalt haben musste, als ständig meine Reserven zu polstern.		
